"#",Lens ID,Title
1,019-672-018-156-452,HETEROGENEOUS MODULAR ARCHITECTURE FOR QUANTUM COMPUTING
2,042-472-512-972-84X,LOCAL PRE-MATCHING PASS FOR CORRELATED DECODING OF QUANTUM ERROR CORRECTING CODES
3,031-941-600-752-767,QUANTUM COMPUTING SYSTEM MODEL TRAINING
4,041-406-410-429-430,LATENCY-REDUCED QUANTUM ERROR DETECTION GRAPH DECODING
5,047-728-107-712-073,"QUANTUM DEVICE, METHOD FOR MANUFACTURING QUANTUM DEVICE, AND METHOD FOR INSPECTING QUANTUM DEVICE"
6,059-888-170-656-957,DETECTION OF QUASIPARTICLE POISONING AT MAJORANA ISLAND
7,118-084-225-622-274,MULTI-COMPILER-BASED QUANTUM OPERATING SYSTEM
8,140-344-787-448-787,Quantum computing using metamaterial arrays
9,143-304-834-071-939,GENERATION AND COMPILATION OF REPRESENTATIONS OF FAULT TOLERANT QUANTUM CIRCUITS
10,163-542-583-150-200,PARALLEL MATCHING FOR QUANTUM ERROR CORRECTION
11,161-112-670-508-298,MAGIC STATE FACTORY CONSTRUCTIONS FOR PRODUCING CCZ AND T STATES
12,150-998-479-877-69X,GRAPHICAL USER INTERFACE FOR QUANTUM CIRCUIT DESIGN
13,196-243-304-570-884,Efficient and noise resilient measurements for quantum chemistry
14,135-597-334-511-071,GATE FUSION FOR MEASURE IN QUANTUM COMPUTING SIMULATION
15,045-659-376-361-188,PARAMETRIC FLUORESCENT READOUT FOR SUPERCONDUCTING QUBITS
16,040-011-682-101-022,QUANTUM ERROR CORRECTION USING NEURAL NETWORKS
17,012-071-415-045-168,QUANTUM VARIABLES IMPLEMENTATION
18,075-389-828-231-693,MITIGATION OF QUBIT CROSSTALK-INDUCED ERRORS IN QUANTUM COMPUTING AND INFORMATION PROCESSING SYSTEMS
19,141-770-665-434-633,Filter for laminated circuit assembly
20,046-494-233-794-051,Identifying Severe Hook Faults of Stabilizer Channel
21,077-449-073-834-561,MONOLITHICALLY INTEGRATED REMNANT MAGNETIC FIELD AND GRADIENT GENERATION IN ION TRAPS
22,060-309-358-600-951,OPERATING QUANTUM DEVICES USING A TEMPORAL METRIC
23,062-038-717-483-357,Quantum state classifier using reservoir computing
24,017-121-354-417-734,RESETTING QUANTUM STATES OF QUBITS VIA ON-CHIP LOSSY RESONATORS WITHIN QUANTUM COMPUTING SYSTEMS
25,028-085-286-669-561,ITERATIVE COMPILATION AND EXECUTION IN A QUANTUM OPERATING SYSTEM
26,041-456-109-833-480,Observational bayesian optimization of quantum-computing operations
27,033-673-687-890-242,METHOD AND SYSTEM FOR QUANTUM COMPUTING IMPLEMENTATION
28,189-680-844-375-942,CALIBRATING TUNING PARAMETERS FOR LASER TUNING JOSEPHSON JUNCTIONS
29,175-327-700-894-393,APPARATUS AND METHOD FOR PROBABILISTIC ERROR CORRECTION OF A QUANTUM COMPUTING SYSTEM
30,150-455-505-765-392,OPTIMIZING PHYSICAL PARAMETERS IN FAULT-TOLERANT QUANTUM COMPUTING TO REDUCE FREQUENCY CROWDING
31,129-628-904-434-779,ION IMPLANT DEFINED NANOROD IN A SUSPENDED MAJORANA FERMION DEVICE
32,045-537-637-348-286,Robust Majorana magic gates via measurements
33,169-234-037-689-827,ENHANCING THE COHERENCE OF SUPERCONDUCTING QUANTUM BITS
34,018-695-257-175-20X,Privacy-Preserving Quantum Computation Using Masked Quantum Circuit
35,071-455-119-354-452,Automatic qubit calibration
36,021-163-470-579-44X,Error detection method and information processing apparatus
37,000-371-396-590-345,Quantum data processing system
38,024-406-771-892-205,FAULT-TOLERANT QUANTUM COMPUTING ARCHITECTURE
39,012-643-158-799-073,EFFICIENT AND NOISE RESILIENT MEASUREMENTS FOR QUANTUM CHEMISTRY
40,030-944-777-998-153,RADIO ACCESS NETWORK ADJUSTMENT
41,012-691-437-403-314,Quantum computing system having flex circuit boards for improved signal transmissions
42,040-561-266-844-851,PLANE WAVE DUAL BASIS FOR QUANTUM SIMULATION
43,050-105-254-010-589,QUANTUM COMPUTING SYSTEM AND METHOD
44,067-692-435-148-321,Tunable superconducting resonator for quantum computing devices
45,070-639-169-449-185,Performing unitary iteration and indexed operations
46,064-289-310-696-245,QUANTUM BIT ROUTING
47,076-824-464-010-004,Preparing superpositions of computational basis states on a quantum computer
48,076-389-978-375-840,METHOD AND APPARATUS FOR QUANTUM-CLASSICAL RESOURCE BALANCING OPTIMIZATIONS
49,082-137-976-527-616,Quantum dot devices with multiple barrier gates between adjacent plunger gates
50,116-689-369-485-95X,METHOD FOR MANAGEMENT OF PROCESSING RESOURCES AND APPARATUS FOR IMPLEMENTING THE SAME
51,131-678-804-369-372,Hybrid Classical-Quantum Unsupervised Multiclass Classification
52,141-628-735-721-797,Lateral gate material arrangements for quantum dot devices
53,142-185-131-931-116,DETECTION SCHEME
54,150-949-116-015-90X,ERROR LIMITING PROTOCOL FOR THE CONSTRUCTION OF TWO-QUBIT GATES IN AN ION-TRAP QUANTUM COMPUTING SYSTEM
55,157-866-269-106-520,Weighted alternating paths in graphs for quantum computing
56,189-727-731-695-89X,QUANTUM DEVICE
57,037-090-461-463-046,METHOD AND SYSTEM FOR AGGREGATION OF DATA FOR A PLATFORM FOR UNIFIED GOVERNANCE OF A PLURALITY OF INTENSIVE CALCULATION SOLUTIONS
58,037-872-097-673-085,Mapping conditional execution logic to quantum computing resources
59,022-328-196-088-005,SUPERCONDUCTING FLEX CIRCUIT BOARDS HAVING METAL STRUCTURES FOR IMPROVED INTERFACING CHARACTERISTICS
60,060-273-253-699-498,Quantum circuit construction with simultaneously entangling gates in trapped-ion quantum computers
61,133-178-660-790-863,Pulse generation
62,178-449-141-861-759,MODELING EXPONENTIALLY LARGE CLASSICAL PHYSICAL SYSTEMS USING QUANTUM COMPUTING
63,015-420-408-333-489,PARAMETRIC AMPLIFIERS WITH INDUCTIVE INPUT COUPLING FOR QUANTUM COMPUTING SYSTEMS
64,186-984-975-303-192,Discrete pulse settling compensation for composite quantum gates
65,135-635-340-285-976,GRADIENT-BASED QUANTUM ASSISTED HAMILTONIAN LEARNING
66,044-765-640-697-688,EXPONENTIAL QUANTUM ADVANTAGE FOR MEASURING FERMIONIC OPERATORS
67,001-877-830-945-394,"QUANTUM COMPUTING PROGRAM, QUANTUM COMPUTING METHOD, AND INFORMATION PROCESSING DEVICE"
68,024-547-113-025-889,CYCLIC STORAGE AREAS FOR QUANTUM COMPUTING
69,025-819-006-751-52X,TOPOLOGICAL OUTCOME CODES FOR CLIFFORD CIRCUITS
